"core","depth","enzyme","temperature","substrate_conc","activity"
"Core1","00-10","AP","10",700,3589.863879
"Core1","00-10","AP","10",700,3317.063819
"Core1","00-10","AP","10",700,3634.272697
"Core1","00-10","AP","10",700,2712.475559
"Core1","00-10","AP","10",350,2927.49452
"Core1","00-10","AP","10",350,4076.286858
"Core1","00-10","AP","10",350,2861.783642
"Core1","00-10","AP","10",350,3351.586919
"Core1","00-10","AP","10",200,2564.909273
"Core1","00-10","AP","10",200,2691.443695
"Core1","00-10","AP","10",200,2635.545277
"Core1","00-10","AP","10",200,2805.250739
"Core1","00-10","AP","10",130,2140.408386
"Core1","00-10","AP","10",130,2398.04567
"Core1","00-10","AP","10",130,2368.657899
"Core1","00-10","AP","10",130,2193.424956
"Core1","00-10","AP","10",80,1953.283942
"Core1","00-10","AP","10",80,1972.148241
"Core1","00-10","AP","10",80,1906.286184
"Core1","00-10","AP","10",40,1320.969745
"Core1","00-10","AP","10",40,1279.097899
"Core1","00-10","AP","10",40,1326.461793
"Core1","00-10","AP","10",10,570.1188514
"Core1","00-10","AP","10",10,622.5330673
"Core1","00-10","AP","10",10,544.8530687
"Core1","00-10","AP","10",10,560.3796197
"Core1","00-10","BG","10",450,2003.282996
"Core1","00-10","BG","10",450,1955.994691
"Core1","00-10","BG","10",450,1882.890218
"Core1","00-10","BG","10",450,1859.937001
"Core1","00-10","BG","10",250,1828.234901
"Core1","00-10","BG","10",250,1900.09451
"Core1","00-10","BG","10",250,1961.329073
"Core1","00-10","BG","10",250,1844.347271
"Core1","00-10","BG","10",150,1629.843168
"Core1","00-10","BG","10",150,1567.030675
"Core1","00-10","BG","10",150,1989.089245
"Core1","00-10","BG","10",150,1740.93844
"Core1","00-10","BG","10",100,1344.047099
"Core1","00-10","BG","10",100,1483.422284
"Core1","00-10","BG","10",100,1516.629686
"Core1","00-10","BG","10",100,1605.778026
"Core1","00-10","BG","10",60,1257.565156
"Core1","00-10","BG","10",60,1445.423904
"Core1","00-10","BG","10",60,1274.409799
"Core1","00-10","BG","10",60,1482.23598
"Core1","00-10","BG","10",30,881.3605241
"Core1","00-10","BG","10",30,951.826452
"Core1","00-10","BG","10",30,871.1866529
"Core1","00-10","BG","10",30,1003.019425
"Core1","00-10","BG","10",10,394.7316065
"Core1","00-10","BG","10",10,403.7527382
"Core1","00-10","BG","10",10,412.6037935
"Core1","00-10","BG","10",10,400.2850709
"Core1","00-10","LAP","10",600,98.37522775
"Core1","00-10","LAP","10",600,92.63216224
"Core1","00-10","LAP","10",600,94.69438068
"Core1","00-10","LAP","10",600,95.22387642
"Core1","00-10","LAP","10",350,68.90862841
"Core1","00-10","LAP","10",350,67.51216623
"Core1","00-10","LAP","10",350,67.35414684
"Core1","00-10","LAP","10",190,41.5372913
"Core1","00-10","LAP","10",190,43.83701442
"Core1","00-10","LAP","10",190,41.85784832
"Core1","00-10","LAP","10",190,40.75435813
"Core1","00-10","LAP","10",110,29.00599571
"Core1","00-10","LAP","10",110,24.26535456
"Core1","00-10","LAP","10",110,26.39635721
"Core1","00-10","LAP","10",110,33.0008008
"Core1","00-10","LAP","10",70,23.52686038
"Core1","00-10","LAP","10",70,21.53752824
"Core1","00-10","LAP","10",70,22.57345295
"Core1","00-10","LAP","10",70,22.81541642
"Core1","00-10","LAP","10",40,13.44166644
"Core1","00-10","LAP","10",40,13.0103829
"Core1","00-10","LAP","10",40,14.35877936
"Core1","00-10","LAP","10",40,14.79874267
"Core1","00-10","LAP","10",20,7.282602659
"Core1","00-10","LAP","10",20,7.289677266
"Core1","00-10","LAP","10",20,7.228502717
"Core1","00-10","LAP","10",10,3.905724473
"Core1","00-10","LAP","10",10,3.505830783
"Core1","00-10","LAP","10",10,3.981642743
"Core2","00-10","AP","10",700,1810.539018
"Core2","00-10","AP","10",700,3715.698991
"Core2","00-10","AP","10",700,1856.259685
"Core2","00-10","AP","10",700,2415.894131
"Core2","00-10","AP","10",350,1560.789192
"Core2","00-10","AP","10",350,2252.213244
"Core2","00-10","AP","10",350,1910.878095
"Core2","00-10","AP","10",350,1903.832889
"Core2","00-10","AP","10",200,1341.182838
"Core2","00-10","AP","10",200,1557.467273
"Core2","00-10","AP","10",200,1580.413545
"Core2","00-10","AP","10",200,1840.117895
"Core2","00-10","AP","10",130,1353.655355
"Core2","00-10","AP","10",130,1320.044275
"Core2","00-10","AP","10",130,1442.127152
"Core2","00-10","AP","10",130,1718.064406
"Core2","00-10","AP","10",80,1143.786915
"Core2","00-10","AP","10",80,1028.526316
"Core2","00-10","AP","10",80,1399.943136
"Core2","00-10","AP","10",80,1265.429042
"Core2","00-10","AP","10",40,985.4342071
"Core2","00-10","AP","10",40,910.0232699
"Core2","00-10","AP","10",40,979.9052516
"Core2","00-10","AP","10",10,426.7010405
"Core2","00-10","AP","10",10,478.0153294
"Core2","00-10","AP","10",10,432.7643426
"Core2","00-10","AP","10",10,462.4597177
"Core2","00-10","BG","10",450,953.3722405
"Core2","00-10","BG","10",450,936.8670575
"Core2","00-10","BG","10",450,958.4110947
"Core2","00-10","BG","10",250,975.3405856
"Core2","00-10","BG","10",250,961.5735033
"Core2","00-10","BG","10",250,1142.757835
"Core2","00-10","BG","10",250,1083.624048
"Core2","00-10","BG","10",150,1037.203962
"Core2","00-10","BG","10",150,974.9798132
"Core2","00-10","BG","10",150,1022.237152
"Core2","00-10","BG","10",100,825.0052691
"Core2","00-10","BG","10",100,924.0482794
"Core2","00-10","BG","10",100,935.7256241
"Core2","00-10","BG","10",60,777.5222404
"Core2","00-10","BG","10",60,727.9454286
"Core2","00-10","BG","10",60,832.9972854
"Core2","00-10","BG","10",60,881.353949
"Core2","00-10","BG","10",30,573.1697888
"Core2","00-10","BG","10",30,605.1914435
"Core2","00-10","BG","10",30,683.5429887
"Core2","00-10","BG","10",30,627.8586296
"Core2","00-10","BG","10",10,428.9824387
"Core2","00-10","BG","10",10,376.5109661
"Core2","00-10","BG","10",10,331.6173447
"Core2","00-10","BG","10",10,467.1082373
"Core2","00-10","LAP","10",600,100.6092809
"Core2","00-10","LAP","10",600,103.8304706
"Core2","00-10","LAP","10",600,99.98152031
"Core2","00-10","LAP","10",600,96.71000438
"Core2","00-10","LAP","10",350,80.29839997
"Core2","00-10","LAP","10",350,82.64290147
"Core2","00-10","LAP","10",350,70.74647046
"Core2","00-10","LAP","10",350,69.18871466
"Core2","00-10","LAP","10",190,48.91078005
"Core2","00-10","LAP","10",190,48.62802436
"Core2","00-10","LAP","10",190,58.00946169
"Core2","00-10","LAP","10",190,52.01592832
"Core2","00-10","LAP","10",110,38.07901146
"Core2","00-10","LAP","10",110,34.69089953
"Core2","00-10","LAP","10",110,41.76027706
"Core2","00-10","LAP","10",110,35.63961108
"Core2","00-10","LAP","10",70,30.94227057
"Core2","00-10","LAP","10",70,25.86102117
"Core2","00-10","LAP","10",70,28.00633206
"Core2","00-10","LAP","10",70,30.30743933
"Core2","00-10","LAP","10",40,18.63385324
"Core2","00-10","LAP","10",40,20.0740079
"Core2","00-10","LAP","10",40,20.75126289
"Core2","00-10","LAP","10",40,20.60939981
"Core2","00-10","LAP","10",20,12.41220926
"Core2","00-10","LAP","10",20,13.77919682
"Core2","00-10","LAP","10",20,12.99245111
"Core2","00-10","LAP","10",20,13.89042052
"Core2","00-10","LAP","10",10,8.66304969
"Core2","00-10","LAP","10",10,8.828897445
"Core2","00-10","LAP","10",10,8.829798603
